course_credits,course_department,course_exam_from,course_lamguage,course_outcome,course_prerequest_for,course_prof,course_remark,course_score,course_semester,course_skills,course_summary,course_teaching_method,course_title,course_uni_url,course_url,course_weeks
4,Auditeurs en ligne,Written,English,Analyze two-dimensional models in the phase plane Solve linear one-dimensional differential equations Develop  a simplified model by separation of time scales Analyze connected networks in the mean-field limit Formulate stochastic models of biological phenomena Formalize biological facts into mathematical models Prove stability and convergence Apply model concepts in simulations Predict outcome of dynamics Describe neuronal phenomena,None,Gerstner Wulfram,None,Written exam (70%) & miniproject (30%),Spring,Plan and carry out activities in a way which makes optimal use of available time and other resources. Collect data. Write a scientific or technical report.,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition.,"Classroom teaching, exercises and miniproject. One of the two exercise hours is integrated into the lectures.",Biological modeling of neural networks,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1501614035&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
4,Auditeurs en ligne,Written,English,Analyze two-dimensional models in the phase plane Solve linear one-dimensional differential equations Develop  a simplified model by separation of time scales Analyze connected networks in the mean-field limit Formulate stochastic models of biological phenomena Formalize biological facts into mathematical models Prove stability and convergence Apply model concepts in simulations Predict outcome of dynamics Describe neuronal phenomena,None,Gerstner Wulfram,None,Written exam (70%) & miniproject (30%),Spring,Plan and carry out activities in a way which makes optimal use of available time and other resources. Collect data. Write a scientific or technical report.,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition.,"Classroom teaching, exercises and miniproject. One of the two exercise hours is integrated into the lectures.",Biological modeling of neural networks,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1501614035&ww_x_anneeacad=1866895046&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,Identify quality of images in life science and expectation of the analysis Define the fundamental concepts of the computational bioimaging methods Select appropriately and compare methods and tools for common bioimage analysis tasks Design implements and experiment algorithms to solve specific tasks Develop  a workflow for customized application Assess / Evaluate strategies for image-based experiments in life science,None,"Sage Daniel, Seitz Arne",None,Mini-project during the semester (50%) and a written session exam (50%),Spring,Demonstrate the capacity for critical thinking Use a work methodology appropriate to the task. Use both general and domain specific IT resources and tools,"The course provides a comprehensive overview of methods, algorithms, and computer tools used in in computational bioimaging and bioimage analysis. It exposes the fundamental concepts and the practical computer solutions to extract quantitative information from multidimensional images.","Lecturing with demonstration, workshops, computer laboratories, hands-on",Bioimage informatics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2445612118&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,During the semester,English,Assess / Evaluate human locomotion Formalize the underlying biomechanical and neural components Design models of human locomotion,None,"Aminian Kamiar, Courtine Grégoire, Ijspeert Auke",None,Obligatory continuous grading of practical reports,Spring,,"The lecture presents an overview of the state of the art in the analysis and modeling of human locomotion and the underlying motor circuits. Multiple aspects are considered including neurophysiology, gait characterization, biomechanics, numerical modeling, neuroprosthetics, and links to biped robots","Ex cathedra lectures. The practical work including three series of assigments that involve programming with MATLAB, recording human locomotion, followed by kinematic, kinetic, and EMG data analyses. The student should provide a separate report for each part for evaluation. Grades are based on the practicals.",Analysis and modelling of locomotion,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1542953756&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
4,Auditeurs en ligne,Written,English,Analyze two-dimensional models in the phase plane Solve linear one-dimensional differential equations Develop  a simplified model by separation of time scales Analyze connected networks in the mean-field limit Formulate stochastic models of biological phenomena Formalize biological facts into mathematical models Prove stability and convergence Apply model concepts in simulations Predict outcome of dynamics Describe neuronal phenomena,None,Gerstner Wulfram,None,Written exam (70%) & miniproject (30%),Spring,Plan and carry out activities in a way which makes optimal use of available time and other resources. Collect data. Write a scientific or technical report.,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition.,"Classroom teaching, exercises and miniproject. One of the two exercise hours is integrated into the lectures.",Biological modeling of neural networks,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1501614035&ww_x_anneeacad=1866895046&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en,14
4,Auditeurs en ligne,Written,English,Analyze two-dimensional models in the phase plane Solve linear one-dimensional differential equations Develop  a simplified model by separation of time scales Analyze connected networks in the mean-field limit Formulate stochastic models of biological phenomena Formalize biological facts into mathematical models Prove stability and convergence Apply model concepts in simulations Predict outcome of dynamics Describe neuronal phenomena,None,Gerstner Wulfram,None,Written exam (70%) & miniproject (30%),Spring,Plan and carry out activities in a way which makes optimal use of available time and other resources. Collect data. Write a scientific or technical report.,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition.,"Classroom teaching, exercises and miniproject. One of the two exercise hours is integrated into the lectures.",Biological modeling of neural networks,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1501614035&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
3,Electrical and Electronics Engineering,Written,English,"be able to perform efficiently simulations of various devices have an in-depth, intuitive understanding of how PV devices work understand process manufacturing chain and interlinks understand price/cost issue, asses critically PV as a form of sustainable energy.",List of subsequent courses for which the successful completion of this course is a prerequisite,"Ballif Christophe, Haug Franz-Josef",None,Written exam,Spring,,"The objective of this lecture is to give an in-depth understanding of the physics and manufacturing processes of photovoltaic solar cells and related devices (photodetectors, photoconductors). The principle and techniques addressed in this lecture will be useful in a wide range of related fields.",None,Fundamentals & processes for photovoltaic devices,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=229738163&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
3,Electrical and Electronics Engineering,Written,English,"be able to perform efficiently simulations of various devices have an in-depth, intuitive understanding of how PV devices work understand process manufacturing chain and interlinks understand price/cost issue, asses critically PV as a form of sustainable energy.",List of subsequent courses for which the successful completion of this course is a prerequisite,"Ballif Christophe, Haug Franz-Josef",None,Written exam,Spring,,"The objective of this lecture is to give an in-depth understanding of the physics and manufacturing processes of photovoltaic solar cells and related devices (photodetectors, photoconductors). The principle and techniques addressed in this lecture will be useful in a wide range of related fields.",None,Fundamentals & processes for photovoltaic devices,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=229738163&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
3,Electrical and Electronics Engineering,Written,English,"be able to perform efficiently simulations of various devices have an in-depth, intuitive understanding of how PV devices work understand process manufacturing chain and interlinks understand price/cost issue, asses critically PV as a form of sustainable energy.",List of subsequent courses for which the successful completion of this course is a prerequisite,"Ballif Christophe, Haug Franz-Josef",None,Written exam,Spring,,"The objective of this lecture is to give an in-depth understanding of the physics and manufacturing processes of photovoltaic solar cells and related devices (photodetectors, photoconductors). The principle and techniques addressed in this lecture will be useful in a wide range of related fields.",None,Fundamentals & processes for photovoltaic devices,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=229738163&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
2,Electrical and Electronics Engineering,Multiple,English,Choose  A computational imaging model Structure The database for training artificial neural networks Implement Artifical neural networks using the TensorFlow machine learning library.,None,"Borhani Navid, Psaltis Demetri",Next time: Spring 2021,Homeworks,Spring,,This course will focus on the practical implementation of artificial neural networks (ANN) using the open-source TensorFlow machine learning library developed by Google for Python.,1 hour/week  lecture,Deep Learning for Optical Imaging,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2402764855&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,
4,Bioengineering,Written,English,"Select appropriately materials and associated manufacturing processes to design and manufacture an electronic device on flexible carriers Explain the operating principles of simple electronic devices (TFT, diodes, sensors for strain & strain, bioelectrodes) Distinguish the electrical and mechanical properties of devices materials and substrates Design a process flow to fabricate standard thin film electronic devices Interpret the main challenges in materials and process selection, and circuit design for deformable circuitry Integrate interdisciplinary notions from materials science, electronics, microfabrication and bioengineering to design flexible bioelectronic devices",None,Lacour Stéphanie,None,,Fall,Make an oral presentation. Summarize an article or a technical report. Write a scientific or technical report.,"The course is an introduction to the emerging field of flexible (bio)electronics. It provides an overview of the materials and processes used to design and manufacture flexible circuits and sensors.  Applications encompass flexible sensors, biointerfaces, human-machine interfaces and neuroprosthetic",,Flexible bioelectronics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1658221961&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,"Select appropriately materials and associated manufacturing processes to design and manufacture an electronic device on flexible carriers Explain the operating principles of simple electronic devices (TFT, diodes, sensors for strain & strain, bioelectrodes) Distinguish the electrical and mechanical properties of devices materials and substrates Design a process flow to fabricate standard thin film electronic devices Interpret the main challenges in materials and process selection, and circuit design for deformable circuitry Integrate interdisciplinary notions from materials science, electronics, microfabrication and bioengineering to design flexible bioelectronic devices",None,Lacour Stéphanie,None,,Fall,Make an oral presentation. Summarize an article or a technical report. Write a scientific or technical report.,"The course is an introduction to the emerging field of flexible (bio)electronics. It provides an overview of the materials and processes used to design and manufacture flexible circuits and sensors.  Applications encompass flexible sensors, biointerfaces, human-machine interfaces and neuroprosthetic",,Flexible bioelectronics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1658221961&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
3,Bioengineering,Written,English,Sketch basic optical systems. Sketch wide field and fluorescence microscopes. Estimate the resolution of imaging systems. Propose a suitable microscopy configuration for imaging a sample. Characterize the basic elements of a microscope,Biomicroscopy II,Altug Hatice,None,Written exam during the winter exam session,Fall,Communicate effectively with professionals from other disciplines.,"Introduction to geometrical and wave optics for understanding the principles of optical microscopes, their advantages and limitations. Describing the basic microscopy components and the commonly used biomicrocopy methods such as widefield and fluorescence.",Lecturing with exercises.,Biomicroscopy I,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47830388&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
3,Bioengineering,Written,English,Sketch basic optical systems. Sketch wide field and fluorescence microscopes. Estimate the resolution of imaging systems. Propose a suitable microscopy configuration for imaging a sample. Characterize the basic elements of a microscope,Biomicroscopy II,Altug Hatice,None,Written exam during the winter exam session,Fall,Communicate effectively with professionals from other disciplines.,"Introduction to geometrical and wave optics for understanding the principles of optical microscopes, their advantages and limitations. Describing the basic microscopy components and the commonly used biomicrocopy methods such as widefield and fluorescence.",Lecturing with exercises.,Biomicroscopy I,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47830388&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,Choose  an appropriate imaging method for investigating the biological sample of interest. Estimate the performance and limitations of optical microscopes. Sketch the essential elements of optical microscopes. Operate wide field and confocal microscopes. Assess / Evaluate the operation principles of commonly used microscopy methods,"Research project (master, thesis).","Altug Hatice, Seitz Arne",None,Written exam during the exam session,Spring,Use a work methodology appropriate to the task. Continue to work through difficulties or initial failure to find optimal solutions. Communicate effectively with professionals from other disciplines.,Introduction to the different contrast enhancing methods in optical microscopy. Basic hands-on experience with optical microscopes at EPFL's BioImaging and Optics Facility. How to investigate biological samples? How to obtain high quality images?,Lecturing with exercises (50%) and practice in the microscopy facility (50%).,Biomicroscopy II,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47830400&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,Choose  an appropriate imaging method for investigating the biological sample of interest. Estimate the performance and limitations of optical microscopes. Sketch the essential elements of optical microscopes. Operate wide field and confocal microscopes. Assess / Evaluate the operation principles of commonly used microscopy methods,"Research project (master, thesis).","Altug Hatice, Seitz Arne",None,Written exam during the exam session,Spring,Use a work methodology appropriate to the task. Continue to work through difficulties or initial failure to find optimal solutions. Communicate effectively with professionals from other disciplines.,Introduction to the different contrast enhancing methods in optical microscopy. Basic hands-on experience with optical microscopes at EPFL's BioImaging and Optics Facility. How to investigate biological samples? How to obtain high quality images?,Lecturing with exercises (50%) and practice in the microscopy facility (50%).,Biomicroscopy II,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47830400&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,Choose  an appropriate imaging method for investigating the biological sample of interest. Estimate the performance and limitations of optical microscopes. Sketch the essential elements of optical microscopes. Operate wide field and confocal microscopes. Assess / Evaluate the operation principles of commonly used microscopy methods,"Research project (master, thesis).","Altug Hatice, Seitz Arne",None,Written exam during the exam session,Spring,Use a work methodology appropriate to the task. Continue to work through difficulties or initial failure to find optimal solutions. Communicate effectively with professionals from other disciplines.,Introduction to the different contrast enhancing methods in optical microscopy. Basic hands-on experience with optical microscopes at EPFL's BioImaging and Optics Facility. How to investigate biological samples? How to obtain high quality images?,Lecturing with exercises (50%) and practice in the microscopy facility (50%).,Biomicroscopy II,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47830400&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
2,Bioengineering,Oral,English,Illustrate  applications of BioMEMS examples Design devices for specifics applications Explain basic principles involved in BioMEMS,None,Renaud Philippe,None,oral exam:,Fall,,"This course covers the main applications of micro devices for life science and biomedical applications. The course is organized by application topic. It is also covering the basic physical, biological, chemical, technological concepts, which are presented as transversal introductory section","Course organized in mini-chapters, presented by application topic.",BioMEMS,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23996074&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
3,Bioengineering,Written,English,Sketch basic optical systems. Sketch wide field and fluorescence microscopes. Estimate the resolution of imaging systems. Propose a suitable microscopy configuration for imaging a sample. Characterize the basic elements of a microscope,Biomicroscopy II,Altug Hatice,None,Written exam during the winter exam session,Fall,Communicate effectively with professionals from other disciplines.,"Introduction to geometrical and wave optics for understanding the principles of optical microscopes, their advantages and limitations. Describing the basic microscopy components and the commonly used biomicrocopy methods such as widefield and fluorescence.",Lecturing with exercises.,Biomicroscopy I,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47830388&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,"Select appropriately materials and associated manufacturing processes to design and manufacture an electronic device on flexible carriers Explain the operating principles of simple electronic devices (TFT, diodes, sensors for strain & strain, bioelectrodes) Distinguish the electrical and mechanical properties of devices materials and substrates Design a process flow to fabricate standard thin film electronic devices Interpret the main challenges in materials and process selection, and circuit design for deformable circuitry Integrate interdisciplinary notions from materials science, electronics, microfabrication and bioengineering to design flexible bioelectronic devices",None,Lacour Stéphanie,None,,Fall,Make an oral presentation. Summarize an article or a technical report. Write a scientific or technical report.,"The course is an introduction to the emerging field of flexible (bio)electronics. It provides an overview of the materials and processes used to design and manufacture flexible circuits and sensors.  Applications encompass flexible sensors, biointerfaces, human-machine interfaces and neuroprosthetic",,Flexible bioelectronics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1658221961&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
2,Bioengineering,Oral,English,Illustrate  applications of BioMEMS examples Design devices for specifics applications Explain basic principles involved in BioMEMS,None,Renaud Philippe,None,oral exam:,Fall,,"This course covers the main applications of micro devices for life science and biomedical applications. The course is organized by application topic. It is also covering the basic physical, biological, chemical, technological concepts, which are presented as transversal introductory section","Course organized in mini-chapters, presented by application topic.",BioMEMS,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23996074&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
2,Bioengineering,Oral,English,Illustrate  applications of BioMEMS examples Design devices for specifics applications Explain basic principles involved in BioMEMS,None,Renaud Philippe,None,oral exam:,Fall,,"This course covers the main applications of micro devices for life science and biomedical applications. The course is organized by application topic. It is also covering the basic physical, biological, chemical, technological concepts, which are presented as transversal introductory section","Course organized in mini-chapters, presented by application topic.",BioMEMS,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23996074&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
4,Civil and Environmental Engineering ,Written,English,,"Advanced Machine Learning, spring semester",Billard Aude,None,"Final written exam (100% grade), in-class assessment through a quiz (0% grade).",Fall,,"Real-world engineering applications must cope with a large dataset of dynamic variables, which cannot be well approximated by classical or deterministic models. This course gives an overview of methods from Machine Learning for the analysis of non-linear, highly noisy and multi dimensional data","Ex-cathedra, exercises, computer-based practical sessions",Applied machine learning,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47233600&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
4,Microengineering,Written,English,"Choose  the right methods to design and control a mobile robot for a particular task. Integrate approriate methods for sensing, cognition and actuation Justify design choices for a robotic system Implement perception, localisation/navigation and control methods on a mobile robot",None,Mondada Francesco,None,Written exam,Fall,Plan and carry out activities in a way which makes optimal use of available time and other resources.,"The course teaches the basics of autonomous mobile robots. Both hardware (energy, locomotion, sensors) and software (signal processing, control, localization, trajectory planning, high-level control) will be tackled. The students will apply the knowledge to program and control a real mobile robot.","Ex cathedra, exercises, work on mobile robots",Basics of mobile robotics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2343869959&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
4,Civil and Environmental Engineering ,Written,English,,"Advanced Machine Learning, spring semester",Billard Aude,None,"Final written exam (100% grade), in-class assessment through a quiz (0% grade).",Fall,,"Real-world engineering applications must cope with a large dataset of dynamic variables, which cannot be well approximated by classical or deterministic models. This course gives an overview of methods from Machine Learning for the analysis of non-linear, highly noisy and multi dimensional data","Ex-cathedra, exercises, computer-based practical sessions",Applied machine learning,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47233600&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
4,Civil and Environmental Engineering ,Written,English,,"Advanced Machine Learning, spring semester",Billard Aude,None,"Final written exam (100% grade), in-class assessment through a quiz (0% grade).",Fall,,"Real-world engineering applications must cope with a large dataset of dynamic variables, which cannot be well approximated by classical or deterministic models. This course gives an overview of methods from Machine Learning for the analysis of non-linear, highly noisy and multi dimensional data","Ex-cathedra, exercises, computer-based practical sessions",Applied machine learning,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47233600&ww_x_anneeacad=1866895046&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en,14
4,Microengineering,Written,English,,None,Floreano Dario,None,Project assessment and written exam,Spring,,"The course provides an introduction to the design, control, and applications of aerial robots. Students will be able to translate theoretical concepts into practice by means of hands-on exercises with simulated drones.","Lectures, software exercises, exercises and project with real drones",Aerial robotics,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2343870010&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,Oral,English,Choose  an appropriate method Apply the method properly,Students must be knowledgeable about machine learning and have taken a course in the area either at EPFL or elsewhere. Relevant courses at EPFL are:,Billard Aude,None,"50% personal work during semester, 50% oral exam",Spring,Use a work methodology appropriate to the task. Write a scientific or technical report.,"This course will present some of the core advanced methods in the field for structure discovery, classification and non-linear regression. This is an advanced class in Machine Learning; hence, students are expected to have some background in the field.","Ex-cathedra lectures, exercises, computer-based practical sessions",Advanced machine learning,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1658216417&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
4,Energy Management and Sustainability,Oral,English,Choose  an appropriate method Apply the method properly,Students must be knowledgeable about machine learning and have taken a course in the area either at EPFL or elsewhere. Relevant courses at EPFL are:,Billard Aude,None,"50% personal work during semester, 50% oral exam",Spring,Use a work methodology appropriate to the task. Write a scientific or technical report.,"This course will present some of the core advanced methods in the field for structure discovery, classification and non-linear regression. This is an advanced class in Machine Learning; hence, students are expected to have some background in the field.","Ex-cathedra lectures, exercises, computer-based practical sessions",Advanced machine learning,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1658216417&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
3,Mechanical Engineering,Oral,English,Select appropriately advanced printing methods for a given printing requirement Realize 3D printing concepts and their limitations Match different printing methods to realize multi-functional 3D structures Manipulate advanced 3D printing equipment,None,"Brugger Jürgen, Moser Christophe",None,1 report to be handed in on week 14 couting for 1/3 of the final mark.,Spring,,"Advanced 3D forming techniques for high throughput and high resolution (nanometric) for large scale production. Digital manufacturing of functional layers, microsystems and smart systems.",None,Advanced additive manufacturing technologies,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2372618681&ww_x_anneeacad=1866895046&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en,14
3,Mechanical Engineering,Oral,English,Select appropriately advanced printing methods for a given printing requirement Realize 3D printing concepts and their limitations Match different printing methods to realize multi-functional 3D structures Manipulate advanced 3D printing equipment,None,"Brugger Jürgen, Moser Christophe",None,1 report to be handed in on week 14 couting for 1/3 of the final mark.,Spring,,"Advanced 3D forming techniques for high throughput and high resolution (nanometric) for large scale production. Digital manufacturing of functional layers, microsystems and smart systems.",None,Advanced additive manufacturing technologies,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2372618681&ww_x_anneeacad=1866895046&ww_i_section=945244&ww_i_niveau=6683147&ww_c_langue=en,14
5,Biocomputing minor,Written,English,Apply learning in deep networks to real data Assess / Evaluate performance of learning algorithms Elaborate relations between  different mathematical concepts of learning Judge limitations of algorithms Propose algorithms and models for learning in deep networks Apply Reinforcement Learning,None,Gerstner Wulfram,None,written exam (70 percent) and miniproject (30 percent),Spring,Continue to work through difficulties or initial failure to find optimal solutions. Access and evaluate appropriate sources of information. Write a scientific or technical report. Manage priorities.,"Since 2010 approaches in deep learning have revolutionized fields as diverse as computer vision, machine learning, or artificial intelligence. This course gives a systematic introduction into the main  models of deep artificial neural networks: Supervised Learning and Reinforcement Learning.","ex cathedra lectures and 2 miniprojects. Every week the ex cathedra lectures are interrupted for a short in-class exercise which is then discussed in classroom before the lecture continues.  Additional exercises are given as homework. For the exercise sessions two time slots of 45 minutes will be offered, and students will sign up for one of the two.",Artificial neural networks,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2217640531&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
5,Biocomputing minor,Written,English,Apply learning in deep networks to real data Assess / Evaluate performance of learning algorithms Elaborate relations between  different mathematical concepts of learning Judge limitations of algorithms Propose algorithms and models for learning in deep networks Apply Reinforcement Learning,None,Gerstner Wulfram,None,written exam (70 percent) and miniproject (30 percent),Spring,Continue to work through difficulties or initial failure to find optimal solutions. Access and evaluate appropriate sources of information. Write a scientific or technical report. Manage priorities.,"Since 2010 approaches in deep learning have revolutionized fields as diverse as computer vision, machine learning, or artificial intelligence. This course gives a systematic introduction into the main  models of deep artificial neural networks: Supervised Learning and Reinforcement Learning.","ex cathedra lectures and 2 miniprojects. Every week the ex cathedra lectures are interrupted for a short in-class exercise which is then discussed in classroom before the lecture continues.  Additional exercises are given as homework. For the exercise sessions two time slots of 45 minutes will be offered, and students will sign up for one of the two.",Artificial neural networks,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2217640531&ww_x_anneeacad=1866895046&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,14
5,Biocomputing minor,Written,English,Apply learning in deep networks to real data Assess / Evaluate performance of learning algorithms Elaborate relations between  different mathematical concepts of learning Judge limitations of algorithms Propose algorithms and models for learning in deep networks Apply Reinforcement Learning,None,Gerstner Wulfram,None,written exam (70 percent) and miniproject (30 percent),Spring,Continue to work through difficulties or initial failure to find optimal solutions. Access and evaluate appropriate sources of information. Write a scientific or technical report. Manage priorities.,"Since 2010 approaches in deep learning have revolutionized fields as diverse as computer vision, machine learning, or artificial intelligence. This course gives a systematic introduction into the main  models of deep artificial neural networks: Supervised Learning and Reinforcement Learning.","ex cathedra lectures and 2 miniprojects. Every week the ex cathedra lectures are interrupted for a short in-class exercise which is then discussed in classroom before the lecture continues.  Additional exercises are given as homework. For the exercise sessions two time slots of 45 minutes will be offered, and students will sign up for one of the two.",Artificial neural networks,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2217640531&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
